시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,백현동,7565,백현마을4단지상가,나이스프라자,37.388083 ,127.114783 ,쉘터형,"720-2(시내),76(마을),602-1A(마을),누리2(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7566,백현마을3.4단지.화랑초등학교,화랑초등학교앞,37.389917 ,127.116650 ,쉘터형,"720-2(시내),602-1A(마을),76(마을)",해당없음,N,N,N,Y,N,LED(3단6열),일반의자,N,N,N
성남시,백현동,7567,백현마을4단지상가,나이스프라자,37.387917 ,127.114917 ,쉘터형,"76(마을),누리2(시내),602-1A(마을),720-2(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7568,백현마을3.4단지.화랑초등학교,판교휴먼시아백현마을3단지A,37.390033 ,127.116933 ,쉘터형,"76(마을),720-2(시내),602-1A(마을)",해당없음,N,N,N,Y,N,LCD(세로형 32''),일반의자,N,N,N
성남시,백현동,7569,백현동행정복지센터,이편한세상휴먼시아8단지A,37.387817 ,127.110200 ,쉘터형,"602-1A(마을),720-2(시내),76(마을),71(마을)",해당없음,N,N,N,Y,N,LED(3단6열),일반의자,N,N,N
성남시,삼평동,7570,판교역동편,판교역2번출구,37.395383 ,127.112700 ,쉘터형,"32(마을),66(마을),누리3(시내),누리2(시내),310(시내),602-2B(마을),340(시내),76(마을),71(마을),390(시내),누리1(시내),370(시내),9007(시내),380(시내),101(시내),107(마을),55(시내),82(마을),602(마을),602-1B(마을),3(마을),4000(시내),73(마을),75(마을),6003(시내)",해당없음,N,N,N,N,N,LED(5단16열),일반의자,N,N,N
성남시,백현동,7571,백현육교,한교휴먼시아4단지A,37.389433 ,127.113200 ,쉘터형,"누리2(시내),390(시내),71(마을),66(마을),1101(시내),1101N(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7572,신백현초등학교,신백현초등학교건너,37.387050 ,127.113217 ,쉘터형,"1101N(시내),390(시내),1101(시내),66(마을)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7573,백현육교,판교휴먼시아5단지A,37.389217 ,127.112717 ,쉘터형,"66(마을),71(마을),390(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7574,신백현초등학교,신백현초등학교,37.386483 ,127.112500 ,쉘터형,"71(마을),390(시내),720-2(시내),66(마을),76(마을)",해당없음,N,N,N,N,N,LED(3단8열)(양면),일반의자,N,N,N
성남시,백현동,7575,백현마을5단지,판교휴먼시아5단지A,37.390967 ,127.112717 ,쉘터형,"71(마을),66(마을),누리2(시내),390(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7576,판교역동편,판교역건너,37.394783 ,127.113183 ,쉘터형,"누리1(시내),9007(시내),310(시내),602(마을),76(마을),누리3(시내),340(시내),4000(시내),55(시내),107(마을),32(마을),101(시내),누리2(시내),370(시내)",해당없음,N,N,N,N,N,LED(5단16열),일반의자,N,N,N
