정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
루원시티사거리,89077,463,1149,462,1149,1,53
루원시티프라디움,89150,13886,3674,13874,3674,12,585
루원시티프라디움105동,89308,8660,10019,8633,10019,27,622
루원시티프라디움105동,89309,3455,6168,3446,6168,9,320
루원이편한세상하늘채(107동),42225,11899,16622,11859,16622,40,950
루원이편한세상하늘채(112동),42721,4588,2063,4581,2063,7,221
루원이편한세상하늘채(125동),42216,4557,2288,4549,2288,8,228
루원제일풍경채정문앞,89040,3247,10204,3222,10204,25,448
루원중학교,89493,989,246,989,246,,41
루원중학교,89494,23,451,23,451,,15
루원지웰시티푸르지오,42228,8842,7991,8784,7991,58,561
루원호반베르디움,89149,4501,12809,4485,12809,16,577
루원호반베르디움104동,89368,1028,1581,1028,1581,,86
리안월드입구,90177,44,30,43,30,1,2
리안월드입구,90178,25,23,24,23,1,1
린나이코리아,40011,4,333,2,333,2,11
린나이코리아,40012,444,6,444,6,,15
린스트라우스,42881,7690,2997,7672,2997,18,356
린스트라우스정문,42795,6726,3513,6726,3513,,341
린스트리우스,42831,2983,3168,2965,3168,18,205
마그네,43028,137,181,135,181,2,10
마그네다리,43158,218,126,218,126,,11
마그네다리,43900,23,9,23,9,,1
마그네사거리,43029,329,304,327,304,2,21
마그네사거리,43030,391,449,390,449,1,28
마니교통차고지,89496,174,2,174,2,,5
마니산상회,43417,122,34,114,34,8,5
마니산상회,43443,32,89,32,89,,4
마니산입구,43102,174,468,174,468,,21
마니산입구,43103,554,162,550,162,4,23
마당개,35681,78,63,69,63,9,4
마당개,35697,41,32,41,32,,2
마린월드,70004,755,165,739,165,16,30
마린월드,70029,10,100,,100,10,3
마미,43747,20,20,20,20,,1
마미,43765,11,12,11,12,,0
마송,80131,818,4048,811,4048,7,162
마송,80132,3353,735,3329,735,24,136
마시란,35424,83,271,83,271,,11
마시란,35425,220,55,220,55,,9
마을금고,40528,2071,6086,2030,6086,41,271
마을회관,43314,22,1,22,1,,0
마을회관,43773,,6,,6,,0
마을회관입구,35024,450,1517,427,1517,23,65
마을회관입구,35402,923,180,917,180,6,36
마장공원,40286,6317,18,6269,18,48,211
마장포,35679,22,8,22,8,,1
마장포,35699,278,87,250,87,28,12
마장포고개,35677,52,37,52,37,,2
마장포고개,35701,53,30,53,30,,2
마전고등학교,42752,132,7665,132,7665,,259
마전고등학교,42753,5732,203,5732,203,,197
마전역,42412,2811,8160,2810,8160,1,365
마전역,42413,19678,4582,19671,4582,7,808
마전주공아파트,42420,33,151,28,151,5,6
마전주공아파트,89322,,1,,1,,0
마전지구1,42643,8294,52,8294,52,,278
마전지구2,42645,9,4553,9,4553,,152
